project_id,record_id,esco_id,esco_label,rank,confidence,needs_manual_review,pad_occupation,pad_activity,pad_skills,pad_quote,pad_section_id
P075941,000,d7d986e1-7333-431b-9719-0c5c6939e360,civil engineer,2,0.78,False,Civil Engineer,"Rehabilitate existing power plants, construct new power plants, and support rural electrification program activities described by the Government of Burundi.","['hydropower civil works', 'site supervision', 'contract administration', 'quality assurance', 'health and safety management']","Toward this objective, the CAS calls for the rehabilitation f existing power plants, the construction of new plants, the development of a rural electrification program to address the country's severe energy shortfall, and Burundi's participation i the EAPP.",0
P075941,001,f1b89616-5dfe-40d4-8b02-58a6982b1a01,substation engineer,1,0.85,False,Transmission Engineer,"Design, construct and oversee power system interconnections and the transmission backbone linking beneficiary countries.","['high-voltage transmission design', 'line routing and surveying', 'construction supervision', 'grid connection testing', 'right-of-way management']","The Project will also build important power system interconnections, which will help form the transmission backbone linking Burundi, Rwanda, and Tanzania.",0
P075941,002,e12f08fb-4748-4388-9489-b647df60332a,hydropower engineer,1,0.9,False,Hydropower Engineer,"Support design, construction and commissioning of regional hydropower generation facilities to increase reliability and lower electricity cost.","['hydraulic and turbine design', 'power plant commissioning', 'civil-hydraulic analysis', 'mechanical systems integration', 'operations troubleshooting']",Investments in power generation facilities using regional hydropower resources will increase the reliability and lower the cost of electricity.,0
P075941,003,bea99fea-0383-4c63-b944-70d4799de2c5,project manager,1,0.88,False,Project Manager,Plan and implement infrastructure projects and coordinate assessment of direct benefits and externalities across beneficiary countries under the subsidiary action programs.,"['infrastructure project planning', 'stakeholder coordination', 'monitoring and evaluation', 'procurement oversight', 'financial management']","The second consists of sub-basin action programs (Subsidiary Action Programs) for collaborative physical investments in the Nile Equatorial Lakes and the Eastern Nile regions: the Nile Equatorial Lakes Subsidiary Action Program (NELSAP) and the Eastern Nile Subsidiary Action Program (ENSAP). The objective of these programs is to plan and implement infrastructure projects as well as assess the direct benefits and externalities, taking into account the interests of all beneficiary countries.",0
P075941,004,2808c7ec-cdb1-4b48-8429-e160a418ed0c,regional development policy officer,6,0.7,False,Technical Advisor,Provide technical advice and support to project decision-making through the Technical Advisory Committee and Secretariat structures of the regional initiative.,"['technical analysis of water and energy', 'policy advisory', 'intergovernmental coordination', 'technical report preparation']",The NBI is led by a Council of Ministers in charge of water affairs from the member states (Nile-COM) with the support of a Technical Advisory Committee (Nile-TAC) and a Secretariat (Nile-SEC).,0
P075941,005,579254cf-6d69-4889-9000-9c79dc568644,mechanical engineer,1,0.9,False,Mechanical Engineer,Rehabilitate mechanical works during the planned major rehabilitation of the power plant.,"['mechanical systems rehabilitation', 'plant equipment inspection', 'maintenance planning', 'project supervision', 'contractor coordination']","The financial and economic analyses presented in this report also consider the need for a major rehabilitation of the mechanical and electrical works over 18 months, starting in Year 26 after the commercial operation date (COD) of the power plant.",10
P075941,006,86ca306c-ab99-420a-9e2a-aa73c5c4de22,electrical engineer,2,0.88,False,Electrical Engineer,Rehabilitate electrical works during the planned major rehabilitation of the power plant.,"['electrical systems rehabilitation', 'substation and transmission expertise', 'protection and control systems', 'equipment testing and commissioning', 'maintenance planning']","The financial and economic analyses presented in this report also consider the need for a major rehabilitation of the mechanical and electrical works over 18 months, starting in Year 26 after the commercial operation date (COD) of the power plant.",10
P075941,007,72381086-cb6e-455e-a40b-ccb26550aab6,power production plant operator,7,0.7,False,Operations and Maintenance Technician,Perform operations and maintenance activities covered by the project's tariff across all project phases.,"['equipment maintenance', 'preventive maintenance procedures', 'operational monitoring', 'safety compliance', 'fault diagnosis and troubleshooting']","In all project phases, the tariff will cover operations and maintenance (O&M) costs.",10
P075941,008,fb7e2f4f-1545-42f1-972e-94082e49c6dc,building construction worker,1,0.9,False,Construction Worker,Carry out on-site construction activities during the project's construction phase.,"['civil construction work', 'site safety practices', 'concrete formwork and finishing', 'earthworks and excavation']","The Project will directly benefit the population in the project area by providing employment opportunities, both during the construction phase and during long-term plant operations.",10
P075941,009,f1b89616-5dfe-40d4-8b02-58a6982b1a01,substation engineer,1,0.87,False,Transmission Engineer,Implement transmission line and substation works linking the power station to the Rusumo Falls substation.,"['transmission line design', 'tower erection supervision', 'grid interconnection studies', 'right-of-way coordination', 'safety compliance']","The substation costs are embedded within the costs of the mechanical and electrical works for the power plant, which also include the transmission line leading from the power station to the Rusumo Falls substation.",10
P075941,010,cbde1a3a-406d-4d17-b30b-03981925035d,energy analyst,5,0.65,False,Carbon Market Specialist,Conduct studies required to access future carbon markets and to quantify emission reductions for potential carbon credits.,"['carbon accounting methodologies', 'emissions baseline studies', 'carbon credit project development', 'carbon market regulation knowledge', 'project economic appraisal']","Nevertheless, in order to benefit from a future carbon market, the project developers will conduct the required studies to enhance the Project's financial outlook.",10
P075941,011,974d4eab-fbee-4c52-b16e-73bdd8c25b53,lawyer,4,0.8,False,Legal Advisor,Design and draft power purchase agreements to ensure the project company can meet its financial obligations under the tariff structure.,"['PPA drafting', 'contract negotiation', 'regulatory compliance', 'contract law expertise', 'dispute resolution']",The PPA's will be designed to ensure that RPCL will be able to meet the financial obligations reflected in the planned tariff structure.,10
P075941,012,78db356f-a96a-4456-ab29-2de62e52f830,public finance accountant,3,0.7,False,Treasury Manager,"Manage escrow deposits, bank guarantees and related escrow account arrangements required under the power purchase agreements.","['escrow account management', 'cash flow forecasting', 'bank guarantee arrangements', 'financial reporting', 'funds reconciliation']","The utilities under the Power Purchase Agreement shall each deposit and maintain an amount equal to six months' capacity charges, pursuant to the Power Purchase Agreement in an escrow account with a depository satisfactory to RPCL.",10
P075941,013,39e9fc8f-02bd-4577-b603-2dc96204ce74,community development officer,1,0.9,False,Community Development Officer,Implement the Local Area Development Plan to deliver livelihood and basic service improvements to project-affected people.,"['community engagement', 'local development planning', 'livelihood restoration programs', 'stakeholder consultation', 'social safeguards implementation']",The Local Area Development Plan (LADP) will help ensure that the projectaffected people will reap tangible benefits from the RRFHP in terms of improved living standards and access to basic services.,10
