esco_id,onet_job_zone,onet_job_zone_label,onet_job_zone_est
00030d09-2b3a-4efd-87cc-c4ea39d27c34,4.0,Considerable Preparation Needed,minimum
000e93a3-d956-4e45-aacb-f12c83fedf84,2.0,Some Preparation Needed,minimum
0019b951-c699-4191-8208-9822882d150c,3.0,Medium Preparation Needed,unique
0022f466-426c-41a4-ac96-a235c945cf97,3.0,Medium Preparation Needed,llm
002da35b-7808-43f3-83bf-63596b8b351f,4.0,Considerable Preparation Needed,unique
0044c991-c26f-4261-a213-4bd1c0564a4c,2.0,Some Preparation Needed,minimum
00634fc4-802a-461b-8af0-499273756f99,3.0,Medium Preparation Needed,unique
00674f21-2f8f-4a41-9896-133f7cbe2a6e,3.0,Medium Preparation Needed,minimum
006cc1f9-2841-41c3-991a-dc3f2f3bd533,5.0,Extensive Preparation Needed,minimum
00747307-6341-4266-a061-25416f7c6a96,5.0,Extensive Preparation Needed,unique
0085f271-5999-4d42-b879-75c3b4269883,2.0,Some Preparation Needed,minimum
0090dd54-057a-4f65-bbe8-f74c4999e8e8,2.0,Some Preparation Needed,llm
00913533-5237-4870-9003-d1cb806603c9,2.0,Some Preparation Needed,unique
009d29de-5872-43be-8d9b-abd27f8c99f1,2.0,Some Preparation Needed,unique
00ab29a3-6d4a-4df9-b46d-de31069e36e8,4.0,Considerable Preparation Needed,unique
00ab5610-e715-428f-99f6-b1e5e469dbcd,4.0,Considerable Preparation Needed,unique
00c8d1cf-24f2-47d1-9f10-765e1c102811,1.0,Little or No Preparation Needed,minimum
00cee175-1376-43fb-9f02-ba3d7a910a58,2.0,Some Preparation Needed,minimum
00fdad73-4551-4e43-b256-1d4a3759db1e,4.0,Considerable Preparation Needed,unique
01205776-db8d-4588-a6a6-56d0b9c660a9,4.0,Considerable Preparation Needed,llm
01484951-15e6-4b88-a20f-1201868d36a0,2.0,Some Preparation Needed,minimum
0152b59d-5005-470c-9273-ef321477d8dc,2.0,Some Preparation Needed,unique
01649ae9-22ee-4dba-83a8-3a2c51fbbe95,5.0,Extensive Preparation Needed,minimum
0181835d-dd00-49e2-9fc4-e1382a65957f,2.0,Some Preparation Needed,unique
