esco_id,section_code,section_label_en,division_code,division_label_en,group_code,group_label_en,embedding_description
00030d09-2b3a-4efd-87cc-c4ea39d27c34,S,"S ARTS, SPORTS AND RECREATION",90,90 Arts creation and performing arts activities,903,90.3 Support activities to arts creation and performing arts,"S ARTS, SPORTS AND RECREATION 90 Arts creation and performing arts activities 90.3 Support activities to arts creation and performing arts This group includes support activities to arts creation and performing arts. It includes activities supporting the production of theatre, opera and ballet performances, musicals, events and others, activities of producers of artistic performances, inside or outside the premises."
000e93a3-d956-4e45-aacb-f12c83fedf84,C,C MANUFACTURING,24,24 Manufacture of basic metals,242,"24.2 Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","C MANUFACTURING 24 Manufacture of basic metals 24.2 Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
0019b951-c699-4191-8208-9822882d150c,C,C MANUFACTURING,26,"26 Manufacture of computer, electronic and optical products",265,"26.5 Manufacture of measuring testing instruments, clocks and watches","C MANUFACTURING 26 Manufacture of computer, electronic and optical products 26.5 Manufacture of measuring testing instruments, clocks and watches This group includes the manufacture of sensing, measuring, testing and navigating equipment for various industrial and non-industrial purposes, including time-based measuring devices (for example, watches and clocks) and related devices."
0022f466-426c-41a4-ac96-a235c945cf97,H,H TRANSPORTATION AND STORAGE,52,"52 Warehousing, storage and support activities for transportation",522,52.2 Support activities for transportation,"H TRANSPORTATION AND STORAGE 52 Warehousing, storage and support activities for transportation 52.2 Support activities for transportation This group includes activities supporting the transport of passengers or freight, including the operation of transport facilities and parts of the transport infrastructure and activities related to handling freight before, after or between transport segments."
002da35b-7808-43f3-83bf-63596b8b351f,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",70,70 Activities of head offices and management consultancy,701,70.1 Activities of head offices,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 70 Activities of head offices and management consultancy 70.1 Activities of head offices"
0044c991-c26f-4261-a213-4bd1c0564a4c,R,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,86,86 Human health activities,861,86.1 Hospital activities,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES 86 Human health activities 86.1 Hospital activities
00634fc4-802a-461b-8af0-499273756f99,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",71,71 Architectural and engineering activities; technical testing and analysis,712,71.2 Technical testing and analysis,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 71 Architectural and engineering activities; technical testing and analysis 71.2 Technical testing and analysis"
00634fc4-802a-461b-8af0-499273756f99,C,C MANUFACTURING,23,23 Manufacture of other non-metallic mineral products,239,23.9 Manufacture of abrasive products and non-metallic mineral products n.e.c.,C MANUFACTURING 23 Manufacture of other non-metallic mineral products 23.9 Manufacture of abrasive products and non-metallic mineral products n.e.c.
00674f21-2f8f-4a41-9896-133f7cbe2a6e,Q,Q EDUCATION,85,85 Education,852,85.2 Primary education,Q EDUCATION 85 Education 85.2 Primary education
006cc1f9-2841-41c3-991a-dc3f2f3bd533,R,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,86,86 Human health activities,869,86.9 Other human health activities,"R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES 86 Human health activities 86.9 Other human health activities This group includes medical, curative, rehabilitative or prevention activities (without the provision of accommodation services) by paramedical practitioners and health professionals other than hospitals or practicing medical doctors."
