esco_id,occupationUri,preferredLabel,combined_text
0000,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,technical director,"technical director director of technical arts
technical supervisor
head of technical
technical and operations director
technical manager
head of technical department Technical directors realise the artistic visions of the creators within technical constraints. They coordinate the operations of various production units, such as scene, wardrobe, sound and lighting, and make-up. They adapt the prototype and study the feasibility, implementation, operation and technical monitoring of the artistic project. They are also responsible for the stage equipment and technical equipment. organise rehearsals, write risk assessment on performing arts production, coordinate with creative departments, adapt to artists' creative demands, negotiate health and safety issues with third parties, adapt designers’ work to the performance venue, promote health and safety, coordinate technical teams in artistic productions"
0001,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,metal drawing machine operator,"metal drawing machine operator wire drawer
forming machine operative
draw machine operator
metal drawing machine technician
draw machine operative
metal drawing machine operative
wiredrawing setter
wiredrawing machine tender
draw machine technician
wirer drawer machine operator
forming machine technician Metal drawing machine operators set up and operate drawing machines for ferrous and non-ferrous metal products, designed to provide wires, bars, pipes, hollow profiles and tubes with their specific form by reducing its cross-section and by pulling the working materials through a series of drawing dies. monitor gauge, remove inadequate workpieces, troubleshoot, remove processed workpiece, monitor moving workpiece in a machine, perform test run, ensure equipment availability, monitor automated machines, supply machine, set up the controller of a machine"
0002,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,precision device inspector,"precision device inspector precision device quality control supervisor
precision device quality assurance supervisor
precision instrument quality control inspector
precision instrument inspector
precision instrument supervisor
precision device QC inspector
inspector of precision devices
inspector of precision instruments
precision device quality control inspector
precision instrument QC inspector Precision device inspectors make sure precision devices, such as micrometers and gauges, operate according to design specifications. They may adjust the precision devices and their components in case of any faults. monitor machine operations, read assembly drawings, troubleshoot, conduct quality control analysis, read standard blueprints, communicate test results to other departments, meet deadlines, report defective manufacturing materials, ensure conformity to specifications"
0003,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,air traffic safety technician,"air traffic safety technician air traffic safety electronics hardware specialist
air traffic safety electronics technician
air traffic safety electronics engineer
air traffic safety electronics software specialist
air traffic safety hardware specialist
air traffic safety software specialist
air traffic safety engineer Air traffic safety technicians provide technical support regarding the safety of air traffic control and navigation systems. They design, maintain, install and operate these systems both in the airport and on board the aeroplane according to regulations. implement airside safety procedures, install electrical and electronic equipment, use technical drawing software, follow airport safety procedures, carry out preventive airport maintenance, use testing equipment, assist in the conducting of flight checks, comply with air traffic control operations, implement safety management systems, monitor customer safety on apron, maintain electronic equipment, follow industry codes of practice for aviation safety, ensure aircraft compliance with regulation, operate radar equipment"
0004,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,hospitality revenue manager,"hospitality revenue manager yield manager
hospitality yields manager
hospitality revenues manager
revenue manager Hospitality revenue managers maximise revenue generated from facilities such as hotels, holiday resorts and camping grounds by analysing trends and competition. They assist establishment managers in strategic decisions. Hospitality revenue managers analyse and optimise the financial potential of facilities and manage the corresponding staff. produce statistical financial records, comply with food safety and hygiene, implement marketing strategies, monitor financial accounts, manage staff, analyse booking patterns, develop financial statistics reports, apply numeracy skills, forecast occupancy demand, ensure price competitiveness, develop business case, inspect data, develop revenue generation strategies, ensure cross-department cooperation, implement sales strategies, make data-driven decisions, manage hospitality revenue, plan medium to long term objectives, perform market research"
0005,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,medical laboratory assistant,"medical laboratory assistant biomedical laboratory research assistant
clinical research assistant
assistant clinical researcher
assistant in medical laboratory
medical lab assistant
medical laboratory research assistant
biomedical laboratory assistant
assistant in biomedical laboratory Medical laboratory assistants work under supervision of the biomedical scientist and carry out basic laboratory procedures. They work in the pre-analytical handling of samples such as checking the details of specimens received for analysis, maintaining analysers, loading reagents, and packaging specimens. They also perform clerical tasks such as monitoring the stock levels of reagents used in analysis. perform laboratory tests, conduct routine blood testing, transport blood samples, archive healthcare users' records, mix chemicals, record test data, maintain laboratory equipment, examine cell specimens microscopically, wear appropriate protective gear, label blood samples, apply safety procedures in laboratory, communicate in healthcare, send samples to laboratory, calibrate laboratory equipment, maintain medical laboratory equipment, work safely with chemicals, identify patients' medical records, test chemical samples, perform sample testing, perform cerebrospinal fluid analysis, use chemical analysis equipment, operate scientific measuring equipment, prepare samples for testing, check the received biological samples"
0006,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,asphalt laboratory technician,"asphalt laboratory technician bitumen technician
asphalt production technical supervisor
aggregates and bitumen laboratory technician
technical supervisor, asphalt production
road surface laboratory technician
road surface technician
aggregates and asphalt laboratory technician
site technician, asphalt
site technician
bitumen production technician
asphalt technician
asphalt production technician
materials technician Asphalt laboratory technicians perform asphalt and related raw materials inspections and laboratory testing, ensuring a high quality of the products. They also participate in coming up with resolutions to technical issues on construction sites. inspect construction supplies, supervise site maintenance, run laboratory simulations, apply safety procedures in laboratory, supervise laboratory operations, check quality of raw materials, inspect asphalt, use safety equipment in construction, write inspection reports, test concrete"
0007,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,primary school teaching assistant,"primary school teaching assistant primary school TA
primary school assistant
primary school paraprofessional
elementary school teaching assistant
primary school teaching aide
primary school instructional assistant
primary education teaching assistant
teaching assistant in primary schools Primary school teaching assistants provide instructional and practical support to primary school teachers. They reinforce instruction with students in need of extra attention and prepare the materials the teacher needs in class. They also perform clerical work, monitor the students' learning progress and behaviour and supervise the students with and without the head teacher present. handle children's problems, guarantee students' safety, manage student relationships, support the positiveness of youths, maintain students' discipline, prepare youths for adulthood, implement care programmes for children, assist students with equipment, assist children in developing personal skills, provide teacher support, support children's wellbeing, perform playground surveillance, give constructive feedback, attend to children's basic physical needs, provide lesson materials, assist students in their learning, encourage students to acknowledge their achievements"
0008,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,physiotherapist,"physiotherapist respiratory therapist
masseuse
rehabilitation therapist
occupational therapist
osteopath
physiotherapist manager
neurological physiotherapist
respiratory physiotherapist
chiropractor
physical therapist
occupational physiotherapist
eurythmy therapist
neuromuscular physiotherapist
health and well-being therapist
chiropractic therapist
cardiovascular physiotherapist
neuromusculoskeletal physiotherapist
remedial physiotherapist
neurodevelopmental physiotherapist
health promotion worker
sports physiotherapist
manipulative physiotherapist
hydrotherapist
bobath physiotherapist
business physiotherapist Physiotherapists are autonomous health professionals who are responsible for developing, maintaining or restoring motor function and movement throughout the lifespan using evidence-based practice. They relieve pain and treat or prevent physical conditions associated with injury, disease or other impairments. Physiotherapists empower patients and their carers to manage the condition outside clinical settings. They work within their scope of practice and their professional Code of Conduct. contribute to quality physiotherapy services, create solutions to problems, respond to changing situations in health care, manage a healthcare unit budget, educate on the prevention of illness, inform policy makers on health-related challenges, adjust physiotherapy interventions, employ cognitive behaviour treatment techniques, manage physiotherapy staff, develop strategic plans for physiotherapy services, contribute to continuity of health care, promote health and safety policies in health services, provide physiotherapy diagnosis, manage clinical risk, use e-health and mobile health technologies, assess physical conditions of clients, empathise with the healthcare user, triage clients for physiotherapy, record healthcare users' progress related to treatment, advocate health, measure effectiveness of the service provided, use different communication channels, manage healthcare users' data, deal with emergency care situations, develop physiotherapy services, provide health education, provide self management support, prescribe healthcare products, contribute to the rehabilitation process, adhere to health well-being and safety, provide information on the effects of physiotherapy, communicate in healthcare, develop therapeutic relationships, provide learning support in healthcare, follow clinical guidelines, collect healthcare user's general data, provide stroke rehabilitation services, advise on healthcare users' informed consent, comply with quality standards related to healthcare practice, comply with legislation related to health care, listen actively, supervise physiotherapist assistants, conduct physiotherapy assessment, adhere to organisational guidelines, correct potentially harmful movements, conduct health related research, work in a multicultural environment in health care, develop plans related to the transfer of care, promote inclusion, interact with healthcare users, provide treatment strategies for challenges to human health, ensure safety of healthcare users, supervise physiotherapy students, apply organisational techniques, interpret medical results, engage in physiotherapy research, develop a collaborative therapeutic relationship, apply context specific clinical competences, develop plans related to client discharge, refer healthcare users, work in multidisciplinary health teams, maintain physiotherapy equipment, accept own accountability, formulate a treatment plan"
0009,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,performing arts theatre instructor,"performing arts theatre instructor professor of theatre
acting school teacher
theatre instructor in performing arts school
acting school instructor
instructor in performing arts
conservatory theatre instructor
performing arts theater instructor
theatre instructor
conservatory theatre lecturer Performing arts theatre instructors educate students in specific theory and, primarily, practice-based theatre courses at a specialised theatre, or acting, school or conservatory at a higher education level. They provide theoretical instruction in service of the practical skills and techniques the students must subsequently master in theatre. Performing arts theatre instructors monitor the students' progress, assist individually when necessary, and evaluate their knowledge and performance of theatre practice through assignments, tests and examinations. guarantee students' safety, stimulate performers' imagination, prepare lesson content, facilitate teamwork between students, monitor developments in field of expertise, compile course material, bring out performers’ artistic potential, understand the emotional dimension of a performance, liaise with educational support staff, direct movement experiences, manage student relationships, adapt teaching to student's capabilities, apply teaching strategies, assess students, identify performers' needs, define creative components, analyse a script, define artistic performance concepts, maintain safe working conditions in performing arts, demonstrate when teaching, give constructive feedback, create a work environment where performers can develop their potential, perform classroom management, prepare performance training session, apply intercultural teaching strategies, conduct background research for plays, develop course outline"
