project_id,esco_id,esco_label,esco_description,pad_occupations,pad_activities,pad_skills,pad_quotes,esco_uri
P075941,0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,"Procurement category specialists are experts in specific markets and contract types and provide advanced knowledge of a particular category of supplies, services or works. They help internal or external clients to increase value for money and end users' satisfaction through their advanced knowledge of the suppliers and their offering.","""Power Purchase Agreement specialist"", ""Procurement Specialist (Metering Equipment)"", ""Procurement Specialist""","""Design Power Purchase Agreements (PPAs) to ensure Rusumo Power Company Limited (RPCL) can meet the financial obligations reflected in the planned tariff structure."", ""Acquisition of prepayment meters financed by the World Bank under the Projet Multisectoriel Eau et Electricit6 Project and the Projet d'Urgence pour l'Assistance au Secteur Energ6tique Project."", ""Be a member of the core implementation-support team."", ""The Rusumo Project Implementation Unit's oversight capability will be reinforced with a procurement specialist."", ""Nile Equatorial Lakes Subsidiary Action Program Coordination Unit will recruit a Procurement Specialist proficient in International Development Association project financing to support procurement of works for the project.""","""design Power Purchase Agreements to ensure RPCL meets financial obligations"", ""structure tariff-related contractual provisions"", ""acquisition of prepayment meters"", ""be part of the implementation-support team"", ""provide procurement specialist expertise"", ""support Unit oversight"", ""proficient in International Development Association project financing"", ""experience in procurement of works to support the project""",": ""Power purchase agreements (PPAs). The PPA's will be designed to ensure that RPCL will be able to meet the financial obligations reflected in the planned tariff structure."", : ""The World Bank is financing the acquisition and installation of 15,000 prepayment meters under the on-going Projet Multisectoriel Eau et Electricit6 Project  (PMIEE)  and another 15,000 prepayment meters  under the  Projet d'Urgence  pour  l'Assistance au  Secteur Energ6tique (PURSE) Project."", : ""The core implementation-support team will consist of a task team leader (TTL), a power engineer, an environmental safeguard specialist, a social-safeguards specialist, a procurement specialist, and a financial-management specialist."", : ""The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff."", : ""NELSAP CU will recruit a  Procurement  Specialist proficient in IDA project financing and  experience in  procurement of  works  to  support the project; Additional technical staff will be recruited to  support procurement  processing as  well  as  to  supervise the  Contractors and Consultants.""",http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01
P075941,0ba06640-e0ac-4911-9e43-289a8e41651e,corporate trainer,"Corporate trainers train, coach, and guide employees of a company to teach and improve their skills, competences and knowledge in accordance with the needs of the company. They develop the existing potential of the employees to increase their efficiency, motivation, job satisfaction, and employability.","""Financial Literacy Trainer"", ""Business Skills Trainer""","""Provide financial training as part of the livelihood restoration program for sustainable utilization of cash compensation."", ""Provide business skills training as part of the livelihood restoration program.""","""provide financial training for the sustainable utilization of cash compensation"", ""provide business skill training""",": ""In addition all affected households will be entitled to participate in a livelihood restoration program which will include financial training for the sustainable utilization of cash compensation, agricultural training for intensification of production and business skill training.""",http://data.europa.eu/esco/occupation/0ba06640-e0ac-4911-9e43-289a8e41651e
P075941,0cca32c2-9308-4927-adb2-14771ab787f0,quantity surveyor,"Quantity surveyors have under their helm complete management of the cost involved in building and construction projects from the inception of the project until the delivery. They strive for an efficient use of the resources whilst keeping an eye on quality, quality standards, and client's requirements.","""Quantity Surveyor""","""Provide quantity surveying support to the set-up operations of the Rusumo Power Company Limited and the NELSAP Rusumo Project Implementation Unit."", ""The Rusumo Project Implementation Unit's oversight capability will be reinforced with a quantity surveyor.""","""support the set-up operations of the Rusumo Power Company Limited"", ""support the set-up operations of the NELSAP Rusumo Project Implementation Unit"", ""provide quantity surveying services"", ""support Unit oversight""",": ""This component will also finance staff costs to support the set-up operations of the Rusumo Power Company Limited (RPCL) and NELSAP Rusumo Project Implementation Unit (RPIU) including a project manager, senior engineers (civil, electrical and mechanical), a quantity surveyor, a safeguards team, a procurement specialist, a financial management specialist, accounts and logistics assistant, a communications specialist and other technical staff."", : ""The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff.""",http://data.europa.eu/esco/occupation/0cca32c2-9308-4927-adb2-14771ab787f0
P075941,0dd7e6cd-2e5a-4fae-9ce0-6a3622d4019f,construction general supervisor,"Construction general supervisors keep track of the proceedings of all stages in the building process. They coordinate the different teams, assign tasks, and resolve problems.","""Financial Management Specialist (provided by Nile Equatorial Lakes Subsidiary Action Program - Coordination Unit)"", ""Independent Environmental Auditor"", ""Site Supervisor (Environmental and Social)"", ""Supervision Engineer""","""The Nile Equatorial Lakes Subsidiary Action Program - Coordination Unit will provide fiduciary support to the Rusumo Project Implementation Unit in financial management and procurement."", ""The Rusumo Power Company Limited shall cause an environmental audit to be undertaken by a qualified independent entity in accordance with the environmental regulations of Rwanda and Tanzania."", ""During construction, site supervisors will be part of the Environmental and Social Management Unit to supervise implementation of ESMP measures on site."", ""Rusumo Project Implementation Unit is recruiting a Supervision Engineer with international experience to supervise preparatory and project works according to Bank standards.""","""provide fiduciary support in financial management"", ""provide fiduciary support in procurement"", ""conduct environmental audit in accordance with national regulations"", ""supervise on-site environmental and social mitigation measures"", ""coordinate with Environmental and Social Management Unit"", ""supervising preparatory and project works according to Bank standards""",": ""The NELSAP-CU will provide fiduciary support to the RPIU in financial management and procurement."", : ""In addition, RPCL shall cause an environmental audit to be undertaken by a qualified independent entity in accordance with the environmental regulations of Rwanda and Tanzania."", : ""ESMU staffing will be flexible but will include multidisciplinary expertise in environmental assessment and management, social assessment and management, as well as health and safety. The construction phase staffing will include 12 environmental and social professionals including site supervisors, plus additional specialists a needed."", : ""to  implement and (i) The Rusumo  RPIU  is  recruiting  a supervision  engineer  with  international  experience which  helps  in  supervising  preparatory  and  project  works according  to  Bank standards, in  addition  to  having  adequate  staff  at  the  RPIU.""",http://data.europa.eu/esco/occupation/0dd7e6cd-2e5a-4fae-9ce0-6a3622d4019f
P075941,0ee67d5e-8de9-48f0-97c5-ba23d486b1e9,secretary of state,"Secretaries of state assist heads of government departments, such as ministers, and aid in the supervision of proceedings in the department. They assist in the direction of policies, operations, and department staff, and perform planning, resource allocation, and decision-making duties.","""Capacity Development Specialist""","""The Project Implementation Manual will cover capacity-building activities for sustained achievement of the Project's objectives.""","""implement capacity-building activities""",": ""The PIM will cover: (i) capacity-building activities for sustained achievement of the Project's objectives; (ii) disbursement, financial management and procurement procedures; (iii) institutional administration, coordination and day-to-day execution of activities of the Project; (iv) monitoring, evaluation, reporting, information, education and communication; (v) project impact and implementation indicators, including the procedures for monitoring and evaluation of the Project activities; (vi) the pertinent environmental and social safeguard documents; and (vii) the format the unaudited interim financial reports and the Financial Statements; and (viii) any such other administrative, financial, technical and organizational arrangements and procedures that the Project will require.""",http://data.europa.eu/esco/occupation/0ee67d5e-8de9-48f0-97c5-ba23d486b1e9
P075941,114e1eff-215e-47df-8e10-45a5b72f8197,renewable energy consultant,"Renewable energy consultants advise clients on the advantages and disadvantages of different renewable energy sources. They conduct surveys and interviews to research demand of and opinions on renewable energy, and strive to advise clients on the most advantageous source of renewable energy for their purpose.","""Carbon credits consultant""","""Conduct required studies to enable the Project to benefit from a future carbon market and enhance the Project's financial outlook.""","""conduct required studies to qualify for carbon market participation"", ""assess emission reduction credentials""",": ""Nevertheless, in order to benefit from a future carbon market, the project developers will conduct the required studies to enhance the Project's financial outlook.""",http://data.europa.eu/esco/occupation/114e1eff-215e-47df-8e10-45a5b72f8197
P075941,12938d1a-eeb2-4b1e-a22b-f0bebeadfb73,hydroelectric plant operator,"Hydroelectric plant operators operate and maintain the equipment used in the production of energy from the movement of water. They monitor the measuring equipment, assess the production needs, and adapt the water flow to meet these needs. They also perform repairs and maintenance duties.","""Hydropower Plant Operator (jointly-managed system)"", ""Operations and Maintenance engineer (hydroelectric plant)"", ""Operation and Maintenance Specialist""","""Demonstrate and operate a jointly-managed hydropower generation and transmission system."", ""Monitor and demonstrate hydro plant availability and report availability metrics to support monthly capacity charges; support adjustments to capacity charges if availability targets are not achieved."", ""Perform operation and maintenance of the power plant once subcontracted by the Rusumo Power Company Limited to a private sector entity.""","""demonstrate jointly-managed hydropower generation and transmission system"", ""operate a jointly-managed hydropower generation and transmission system"", ""demonstrate hydro plant availability (monitoring and reporting)"", ""support adjustment of capacity charges if availability targets not achieved"", ""operate the power plant"", ""perform maintenance of the power plant""",": ""The project is expected to contribute to regional stability and integration by demonstrating the benefits of a jointly-managed hydropower generation and transmission system."", : ""Under this arrangement, the tariff will have a monthly capacity charge (in US$) per MW of plant availability. The off-takers will pay this charge as long as RPCL can demonstrate that the hydro plant has an availability factor 97%, or any other level of availability o be agreed upon by the contracting parties, even if the power is not dispatched. The capacity charge will be adjusted if the availability target is not achieved."", : ""The RPCL will own the power plant, and its operation and maintenance will be subcontracted by the RPCL to a competent private sector entity.""",http://data.europa.eu/esco/occupation/12938d1a-eeb2-4b1e-a22b-f0bebeadfb73
P075941,186ef31e-f26f-4320-a307-c5f95d6cb284,consultant social worker,"Consultant social workers deliver high quality social work services by contributing to the development and improvement of social work and social care practice. They contribute to policy development, deliver trainings and focus on research in the field of social work practices.","""Resettlement Specialist""","""Provide support to the implementation-support team as a resettlement specialist.""","""provide support to the implementation-support team""",": ""This team will receive support from an institutional specialist in the electricity sector, an electromechanical engineer, a civil engineer, a resettlement specialist, a hydropower specialist, a legal advisor, a water resources specialist, a communications specialist, and a monitoring and evaluation (M&E) specialist.""",http://data.europa.eu/esco/occupation/186ef31e-f26f-4320-a307-c5f95d6cb284
P075941,1a46d0f0-93d7-44d1-bff9-58e3f21bd4c4,social service consultant,"Social service consultants aid in the development of policy and procedure for social service programs. They research social service programs and identify areas for improvement, as well as aid in the development of new programs. They fulfil advisory functions for social service organisations.","""Resettlement Specialist"", ""Social Development and Resettlement Officer""","""Implement the Resettlement Action Plan and manage compensation payments to project affected households."", ""Coordinate implementation of the Resettlement Action Plan (RAP)."", ""Consulting services to be procured will include social development and resettlement officers to support RAP and related social activities.""","""implement the Resettlement Action Plan"", ""manage cash compensation payments to project affected households"", ""coordinate implementation of the Resettlement Action Plan (RAP)"", ""implement social development and resettlement activities""",": ""This component will finance the Environmental and Social Management Plan (ESMP) and the Resettlement Action Plan (RAP) including cash compensation to approximately Six Hundred Sixty Four (664) project affected households and implementation of the associated Livelihood Restoration Program and the Local Area Development Plan (LADP)."", : ""The RPIU will be supported by the Owner's Engineer and will be responsible for: (i) overall project management and supervision of the procurement, design, construction and preparation for operation and maintenance of the power plant complex and transmission lines; and (ii) coordination of the implementation of the Environmental and Social Management Plan (ESMP) and the Resettlement Action Plan (RAP)."", : ""These services will include: the Owner's Engineer, a consultant to conduct an exit survey of Project Affected Persons (PAPs), an nongovernmental organization (NGO) to the compensation process for the PAPs, the Project Manager, the Lead Environmental and Social Specialist, two social development and resettlement officer, the Environmental Management Officer, the Communication Officer, the Finance Officer, the Procurement Specialist, the Procurement Officer, the Civil Engineer, the Electrical Engineer, the Mechanical Engineer and the Accountant.""",http://data.europa.eu/esco/occupation/1a46d0f0-93d7-44d1-bff9-58e3f21bd4c4
P075941,1ad59946-d13e-441e-9b36-56e1df055e21,financial auditor,"Financial auditors collect and examine financial data for clients, organisations and companies. They ensure the financial data is properly maintained and free of material misstatements due to error or fraud, that it adds up, and functions legally and effectively. They review lending and credit policies or numbers in databases and documents, evaluate, consult and assist the source of the transaction if necessary. They use their review of the client's financial governance as assurance to give testimony to the shareholders, stakeholders and board of directors of the organisation or company that all is up to par.","""Internal Auditor (regional)"", ""External Auditor (audit firm)""","""The three NBI centres are in the process of recruiting a new, regional, internal auditor who will be responsible for the internal auditing of all three centres."", ""External auditing for Nile Equatorial Lakes Subsidiary Action Program - Coordination Unit's accounts will be handled by private, reputable, independent audit firms in accordance with International Standards on Auditing.""","""perform internal auditing of regional centres"", ""strengthen internal control systems"", ""conduct external audits in accordance with International Standards on Auditing"", ""prepare audited financial statements""",": ""The three NBI centres are in the process of recruiting a new, regional, internal auditor who will be responsible for the internal auditing of all three centres."", : ""The external auditing for NELSAP-CU's accounts is handled by private, reputable, independent audit firms. IDA funding may be used to pay the cost of the audit. The audits are conducted in accordance with the International Standards on Auditing and the accounts are prepared using the IFRs.""",http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21
