esco_id,esco_label,esco_description,group_code,group_label_en,division_code,division_label_en,section_code,section_label_en,pad_occupations,pad_activities,pad_skills,pad_quotes,onet_job_zone,onet_job_zone_label,onet_job_zone_est
0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,"Procurement category specialists are experts in specific markets and contract types and provide advanced knowledge of a particular category of supplies, services or works. They help internal or external clients to increase value for money and end users' satisfaction through their advanced knowledge of the suppliers and their offering.",702,70.2 Business and other management consultancy activities,70,70 Activities of head offices and management consultancy,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""procurement specialist""","""Provide procurement support within the Project Implementation Unit during project implementation and contracts management.""","""public procurement procedures"", ""contract management"", ""bid evaluation"", ""compliance monitoring""","V. KEY RISKS: ""The project will be implemented by the existing and functional PIU from GNEAP-1, which has experienced FM and procurement staff with extensive  knowledge  of managing  World  Bank-financed  projects.""",2.0,2: Some Preparation Needed,minimum
05ebeb56-6ceb-488d-ba91-ed15088efc8e,bridge construction supervisor,Bridge construction supervisors monitor the construction of bridges. They assign tasks and take quick decisions to resolve problems.,421,42.1 Construction of roads and railways,42,42 Civil engineering,F,F CONSTRUCTION,"""construction supervisor""","""Supervise construction and installation of flood-resistant pylons and foundations for the project.""","""construction management"", ""site inspection"", ""quality control"", ""health and safety compliance"", ""contractor coordination""","ANNEX 4: CLIMATE RISKS 46: ""To  enhance  the  resilience  of  the  project  against  climate  threats,  and  mainly  floods  and  landslides,  several measures will be taken. These will include the use of flood-resistant pylons and strong foundations, which will protect the infrastructure of the project.""",2.0,2: Some Preparation Needed,minimum
0752ed49-03e7-4d75-8314-a051b3771a1d,public administration manager,"Public administration managers direct, monitor and evaluate the implementation of government policies. They supervise staff and manage resources used for implementation, and write reports on the implementation process. They also communicate with government officials and the public to inform them on the policies. Public administration managers may also participate in the design and creation of public policies.",841,"84.1 Administration of the State and the economic, social and environmental policies of the community",84,84 Public administration and defence; compulsory social security,P,P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,"""head of department""","""Be competitively recruited and take part in operationalization of the performance contract through KPI dissemination and initial performance monitoring.""","""performance management"", ""operational leadership"", ""KPI implementation"", ""team supervision""","V. KEY RISKS: ""Operationalization  initiated: Confirmation by the IVA that  implementation has begun, evidenced by  competitive recruitment of  directors and heads of  department, KPI  dissemination, functioning  reporting tools, and initial  performance monitoring.""",4.0,4: Considerable Preparation Needed,unique
0ba06640-e0ac-4911-9e43-289a8e41651e,corporate trainer,"Corporate trainers train, coach, and guide employees of a company to teach and improve their skills, competences and knowledge in accordance with the needs of the company. They develop the existing potential of the employees to increase their efficiency, motivation, job satisfaction, and employability.",855,85.5 Other education,85,85 Education,Q,Q EDUCATION,"""capacity building specialist""","""Design and implement capacity-building programs for Électricité de Guinée staff under project-supported technical assistance.""","""training program design"", ""adult learning techniques"", ""utility operations knowledge"", ""training delivery""","V. KEY RISKS: ""Eligible expenditures include: (i) procuring and deploying an integrated management system for electricity consumption tracking and improved billing performance; (ii) identifying new large low voltage customers and installing smart meters for large low voltage consumers and concentrators in substations; (iii) deploying an advanced metering system for medium voltage industrial customers and public institutions; (iv) implementing capacity-building programs for EDG staff; (v) technical assistance to developp data analytics tools for real-time monitoring and reporting; (vi) carrying out public awareness campaigns to promote acceptance of smart metering; and (vii) payment of performance- based incentives to encorurage EDG managment to implement the performance contract (Subcomponent 1.3).""",4.0,4: Considerable Preparation Needed,minimum
13d1b2b4-99dd-44da-9734-c9f74bae18f7,customer service representative,Customer service representatives handle complaints and are responsible for maintaining overall goodwill between an organisation and its customers. They manage data regarding customer satisfaction and report it.,822,82.2 Activities of call centres,82,"82 Office administrative, office support and other business support activities",O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"""grievance officer""","""Operate the National Grievance Redress Mechanism channels, receive and process complaints, and monitor grievance resolution within project timeframes.""","""grievance intake"", ""case management"", ""recordkeeping"", ""dispute resolution"", ""stakeholder communication""","IV. PROJECT APPRAISAL SUMMARY: ""The project will use the National Grievance Redress Mechanism (GRM) that is supported by the World Bank, and which is housed within the National Agency for Local Government Financing (Agence Nationale de Financement des Collectivités, ANAFIC). This GRM will be operational within three months of project effectiveness and monitored throughout implementation. The National GRM will allow communities and individuals to submit complaints or requests regarding any aspect of the project, including resettlement and compensation, construction disturbances, connection eligibility, or mini-grid operations.""",2.0,2: Some Preparation Needed,unique
16b974f4-cb8c-436c-8c05-a16957c40131,fossil-fuel power plant operator,"Fossil-fuel power plant operators operate and maintain industrial equipment, such as generators, turbines and boilers, that provides electricity produced from fossil fuels like natural gas or coal. They ensure the safety of operations and that the equipment complies with legislation. They may also work in combined cycle power plants which use heat recovery systems to recover exhaust heat from one operation and activate steam turbines.",351,"35.1 Electric power generation, transmission and distribution",35,"35 Electricity, gas, steam and air conditioning supply",D,"D ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY","""diesel generator operator""","""Operate and manage diesel gensets that will meet part of mini-grid evening demand as indicated in Component 2 operating assumptions.""","""diesel genset operation"", ""routine inspection"", ""fuel system maintenance"", ""load management"", ""safety and emergency response""","ANNEX 3: ECONOMIC AND FINANCIAL ANALYSIS: ""The incremental costs for Component 2 are (i) the total initial capital costs of the mini-grid investments and replacement CAPEX; (ii) operating costs to maintain the newly deployed assets; and (iii) incremental diesel generation costs from the mini-grid diesel genset to meet the demand from the mini-grid consumers.""",2.0,2: Some Preparation Needed,unique
186ef31e-f26f-4320-a307-c5f95d6cb284,consultant social worker,"Consultant social workers deliver high quality social work services by contributing to the development and improvement of social work and social care practice. They contribute to policy development, deliver trainings and focus on research in the field of social work practices.",889,88.9 Other social work activities without accommodation,88,88 Social work activities without accommodation,R,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,"""gender specialist""","""Support the Project Implementation Unit on gender-related analysis and activities.""","""gender analysis"", ""gender-responsive indicators"", ""stakeholder engagement"", ""training delivery"", ""monitoring gender outcomes""","III. PROJECT IMPLEMENTATION: ""Enhancements to the PIU will include highly experienced E&S risk management staff, M&E and gender specialists, as well as personnel from EDG, AGER and the MEHH.""",4.0,4: Considerable Preparation Needed,llm
1a46d0f0-93d7-44d1-bff9-58e3f21bd4c4,social service consultant,"Social service consultants aid in the development of policy and procedure for social service programs. They research social service programs and identify areas for improvement, as well as aid in the development of new programs. They fulfil advisory functions for social service organisations.",841,"84.1 Administration of the State and the economic, social and environmental policies of the community",84,84 Public administration and defence; compulsory social security,P,P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,"""social specialist""","""Implement resettlement action plans, manage social complaints and oversee social compliance during contractor works.""","""resettlement planning"", ""grievance management"", ""social impact assessment"", ""stakeholder engagement"", ""livelihood restoration""","IV. PROJECT APPRAISAL SUMMARY: ""To address this, the project includes budget allocations to recruit highly qualified environmental, social, and gender specialists, and to strengthen their ability to implement RAPs, manage complaints, oversee contractors and ensure E&S compliance. These specialists will be recruited no later than 90 days after the project effective date.""",4.0,4: Considerable Preparation Needed,llm
1ad59946-d13e-441e-9b36-56e1df055e21,financial auditor,"Financial auditors collect and examine financial data for clients, organisations and companies. They ensure the financial data is properly maintained and free of material misstatements due to error or fraud, that it adds up, and functions legally and effectively. They review lending and credit policies or numbers in databases and documents, evaluate, consult and assist the source of the transaction if necessary. They use their review of the client's financial governance as assurance to give testimony to the shareholders, stakeholders and board of directors of the organisation or company that all is up to par.",692,"69.2 Accounting, bookkeeping and auditing activities; tax consultancy",69,69 Legal and accounting activities,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""external auditor"", ""internal auditor""","""Extend internal audit oversight to the GNEAP-2 project and review internal controls and compliance."", ""Provide independent external audit services as part of the independent financial management system."", ""Be recruited to carry out internal audits as part of strengthening financial management arrangements for the project."", ""Be recruited to conduct independent external audits of the power utility and project financial statements according to international standards.""","""internal audit planning"", ""control testing"", ""compliance review"", ""risk assessment"", ""audit reporting"", ""external financial audit"", ""financial statement auditing"", ""compliance auditing"", ""procurement audit"", ""audit reporting"", ""internal audit procedures"", ""risk assessment"", ""compliance testing"", ""audit reporting"", ""external audit standards"", ""financial statement audit"", ""international audit compliance"", ""audit opinion issuance""","IV. PROJECT APPRAISAL SUMMARY: ""As mitigation measures, the project will maintain an independent FM system, building on arrangements from GNEAP-1, including private auditors, an updated FM Procedures Manual, and an annual work plan and budget approved by both the Steering Committee and the World Bank. In addition, the internal auditor will extend their oversight to the GNEAP-2 project."", IV. PROJECT APPRAISAL SUMMARY: ""As mitigation measures, the project will maintain an independent FM system, building on arrangements from GNEAP-1, including private auditors, an updated FM Procedures Manual, and an annual work plan and budget approved by both the Steering Committee and the World Bank."", V. KEY RISKS: ""Specifically, it will be necessary to: (i) acquire the Tom2Pro management software, which supports multi-project, multi-site, and multi-donor operations; (ii) update the accounting, administrative, and financial procedures manual from GNEAP-1 to reflect the specific requirements of GNEAP-2; and (iii) recruit both an internal and an external auditor.""",4.0,4: Considerable Preparation Needed,minimum
2a914d26-42aa-46b5-acf3-097d51ba4617,construction engineer,Construction engineers interpret building designs and add technical specifications to construction projects. They integrate engineering principles into the designs to ensure that structures are safe and resistant. They work together with architects and engineers to transform design ideas into executable plans.,422,42.2 Construction of utility projects,42,42 Civil engineering,F,F CONSTRUCTION,"""owners engineer""","""Provide consulting services to supervise construction works and ensure technical quality of project civil and electrical works."", ""To be hired as part of project implementation to provide engineering oversight and technical input for the project under Component 4.""","""construction supervision"", ""quality assurance and control"", ""contract administration"", ""site inspection and reporting"", ""technical coordination"", ""engineering design review"", ""construction supervision"", ""technical reporting"", ""contract administration"", ""quality assurance""","II. PROJECT DESCRIPTION: ""This subcomponent will finance consulting services to support the implementing entity in supervising construction works effectively under both IDA and EIB financing."", ANNEX 3: ECONOMIC AND FINANCIAL ANALYSIS: ""Under Component 4, there are costs related to project implementation, hiring of an owner's engineer, and compensation and payments under a RAP (US$17 million).""",4.0,4: Considerable Preparation Needed,unique
