step_code,step_name,start_time,end_time,elapsed_minutes,status,error_occurred,error_message
01_pdf,PDF Conversion,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,Exists - No Overwrite,False,
02_sections,Extract Sections,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,Exists - No Overwrite,False,
03_abbr,Extract Abbreviations,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,Exists - No Overwrite,False,
04_chunks,Create Chunks,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,Exists - No Overwrite,False,
05_long_summary,Generate Long Summary,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,Exists - No Overwrite,False,
05b_short_summary,Generate Short Summary,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,Exists - No Overwrite,False,
06_occupations,Extract Occupations,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,Exists - No Overwrite,False,
06b_occs_csv,Prepare Occupations CSV,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,Exists - No Overwrite,False,
07_esco_prep,Prepare ESCO Data,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,Exists - No Overwrite,False,
07b_esco_match,Match to ESCO,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,New,False,
08_esco_select,Select Best ESCO,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,New,False,
08b_unique_esco,Create Unique ESCO,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,New,False,
09_nace_prep,Prepare ESCO-NACE Groups,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,Exists - No Overwrite,False,
09b_nace_select,Select NACE Groups,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,New,False,
10_skills,Refine Skills,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,New,False,
11_onet_prep,Prepare ESCO-ONET Crosswalk,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,Exists - No Overwrite,False,
11b_onet_merge,Merge ONET Job Zones,2026-01-14 15:51:18,2026-01-14 15:51:18,0.0,New,False,
